id,azimuth,tilt,capacity(kWp),lat,lon
1,180,15,10.2,19.354622,-99.165995
2,128,12,5.72,19.395768,-99.270309
3,155,15,6.95,19.41542,-99.213157
6,152,15,3.12,18.955723000000003,-99.252346
7,106,9,3.12,19.386032,-99.263238
8,175,15,6.24,19.309925,-99.19404
11,137,15,4.16,19.404741,-99.280975
12,209,13,6.76,19.31046,-99.21695799999999
13,155,13,8.48,19.348071,-99.26807
14,168,15,4.68,19.306455,-99.118135
15,193,11,5.83,19.351506,-99.19510799999999
16,180,13,2.38,19.389629,-99.29124200000001
19,135,13,2.65,19.379369,-99.271946
20,197,13,3.18,19.352798999999997,-99.214606
25,146,7,3.18,19.289773999999998,-99.485217
26,116,4,2.34,19.431294,-99.177877
