id,azimuth,tilt,type,capacity(kWp),lat,lon
1,180,15,poli,10.2,19.354622,-99.165995
2,128,12,poli,5.72,19.395768,-99.270309
3,155,15,poli,6.95,19.41542,-99.213157
6,152,15,poli,3.12,18.955723,-99.252346
7,106,9,poli,3.12,19.386032,-99.263238
8,175,15,poli,6.24,19.309925,-99.19404
11,137,15,poli,4.16,19.404741,-99.280975
12,209,13,poli,6.76,19.31046,-99.216958
13,155,13,poli,8.48,19.348071,-99.26807
14,168,15,poli,4.68,19.306455,-99.118135
15,193,11,poli,5.83,19.351506,-99.195108
16,180,13,poli,2.38,19.389629,-99.291242
19,135,13,poli,2.65,19.379369,-99.271946
20,197,13,poli,3.18,19.352799,-99.214606
25,146,7,poli,3.18,19.289774,-99.485217
26,116,4,poli,2.34,19.431294,-99.177877
